epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,263.9,0.20108,0.97148,1,0.10184,0.000551937,0.000551937,0.000551937
2,467.107,0.11034,0.97987,1,0.11018,0.00105278,0.00105278,0.00105278
3,680.24,0.12977,0.97987,1,0.0488,0.00149861,0.00149861,0.00149861
4,885.842,0.10005,0.98154,1,0.06296,0.00141945,0.00141945,0.00141945
5,1097.48,0.11074,0.97987,1,0.05204,0.00133693,0.00133693,0.00133693
6,1301.79,0.08023,0.97987,1,0.03978,0.00125442,0.00125442,0.00125442
7,1509.62,0.06921,0.98658,1,0.03134,0.0011719,0.0011719,0.0011719
